Code,Domain,Title,Responsible,Duration,Deliverables,Prerequisites,Description,Required Resources/Facilities,Predecessor WPs:,Successor WPs,Completeness
SD.TTC.DES.01.00,TTC,Creation and Testing of Downlink Communications System,RF Specialist,1 Year 4 months,Downlink  communications system design,STRATHcube mission documentation,"Evaluation of requirements, implementation on engineering model, integration with PPL system and performance testing","Mission documentation, Target SDR documentation, MATLAB, Simulink, Vivado, Python, C++, Static analysis tools, FPGA Development board, transceiver development board",N/A,N/A,50%
SD.TTC.DES.01.01,TTC,Assess STRATHcube Communication System Work to Date,RF Specialist,2 weeks,Literature review of STRATHcube communication system,STRATHcube mission documentation,"Evaluate current state of communication system to identify progress, gaps and requirements",Mission documentation,N/A,SD.TTC.DES.01.04,100%
SD.TTC.DES.01.02,TTC,Review DVB-S2 Standard and Relevant Communication Standards,RF Specialist,2 weeks,Literature review of relevant standards,None,"Analyse DVB-S2 system, determine suitability to mission, identify suitable architecture",Standards Documents,N/A,SD.TTC.DES.01.06,100%
SD.TTC.DES.01.03,TTC,Research DVB-S2 SDR Implementations,RF Specialist,1 month,Literature review of previous implementations,None,Research previous implementations of DVB-S2 transmitters on SDR,"Research Papers, Open Source Repositories",N/A,SD.TTC.DES.01.06,100%
SD.TTC.DES.01.04,TTC,Functional Requirement Generation for Downlink Communication System,"RF Specialist, Systems Engineer",1 week,Functional Requirements,"SD.TTC.DES.01.01, SD.TTC.DES.01.02, SD.TTC.DES.01.03",Collaborate with Systems Engineers to develop functional requirements for system development.,N/A,N/A,SD.TTC.DES.01.06,100%
SD.TTC.DES.01.05,TTC,Review of Target SDR Hardware,RF Specialist,1 week,"FPGA resource requirements, identification of suitable development boards for engineering model",None,Investigate available documentation regarding the target SDR platform to evaluate FPGA resources and design requirements.,Target SDR Documentation,N/A,SD.TTC.DES.01.06,100%
SD.TTC.DES.01.06,TTC,Downlink Communications Architecture Development,RF Specialist,3 months,High level end to end system design document for downlink transmitter,"SD.TTC.DES.01.02, SD.TTC.DES.01.03, SD.TTC.DES.01.04",Identification of all blocks required to implement downlink communication system. Identification of suitable resources to aid implementation.,N/A,"SD.TTC.DES.01.02, SD.TTC.DES.01.03, SD.TTC.DES.01.04","SD.TTC.DES.01.07, SD.TTC.DES.01.09",100%
SD.TTC.DES.01.07,TTC,Implement DVB-S2 Transmitter on Engineering Model (Programmable Logic),RF Specialist,3 months,DVB-S2 Transmitter FPGA Implementation,SD.TTC.DES.01.06,Creation of FPGA design to implement DVB-S2 Transmission System,"MATLAB, Simulink, Vivado",SD.TTC.DES.01.06,SD.TTC.DES.01.8,50%
SD.TTC.DES.01.08,TTC,Validation of DVB-S2 Transmitter on Engineering Model (Programmable Logic),RF Specialist,1 month,Validated DVB-S2 Transmitter Design,SD.TTC.DES.01.07,Validation of implemented DVB-S2 transmitter to ensure adherence to standard and suitability.,"MATLAB, Simulink, Vivado",SD.TTC.DES.01.07,SD.TTC.DES.01.11,0%
SD.TTC.DES.01.09,TTC,Implementation of Packet Handling on Engineering Model (Processing System),RF Specialist,1 month,Packet Handling System Software Implementation,SD.TTC.DES.01.06,Implementation of the packet handling system in software,"Python, C++","SD.TTC.DES.01.06, SD.TTC.DES.01.08",SD.TTC.DES.01.10,0%
SD.TTC.DES.01.10,TTC,Validation of Packet Handling on Engineering Model (Processing System),RF Specialist,1 month,Validated Packet Handling Software,SD.TTC.DES.01.09,Validation of packet handling system in software.,"Python, C++, Static Analysis Tools",SD.TTC.DES.01.09,SD.TTC.DES.01.11,0%
SD.TTC.DES.01.11,TTC,Downlink Engineering Model End to End Testing ,RF Specialist,1 month,Downlink Engineering Model Test Report,"SD.TTC.DES.01.06, SD.TTC.DES.01.08",Validation of entire system in hardware.,"Appropriate FPGA development board, Appropriate transceiver development board","SD.TTC.DES.01.06, SD.TTC.DES.01.08",SD.TTC.DES.01.12,0%
