Modulation,CodingRate,SpectralEfficiency,Datarate (kbps) [ɑ=0.35],Datarate (kbps) [ɑ=0.25],Datarate (kbps) [ɑ=0.20]
QPSK,1/4,0.4786,51.93,56.09,58.42
QPSK,1/3,0.6408,69.53,75.09,78.22
QPSK,2/5,0.7706,83.62,90.30,94.07
QPSK,1/2,0.9653,104.74,113.12,117.83
QPSK,3/5,1.16,125.87,135.94,141.60
QPSK,2/3,1.291,140.08,151.29,157.59
QPSK,3/4,1.452,157.55,170.16,177.25
QPSK,4/5,1.549,168.08,181.52,189.09
QPSK,5/6,1.615,175.24,189.26,197.14
QPSK,8/9,1.724,187.07,202.03,210.45
QPSK,9/10,1.746,189.45,204.61,213.13
8PSK,3/5,1.74,188.80,203.91,212.40
8PSK,2/3,1.936,210.07,226.88,236.33
8PSK,3/4,2.178,236.33,255.23,265.87
8PSK,5/6,2.422,262.80,283.83,295.65
8PSK,8/9,2.586,280.60,303.05,315.67
8PSK,9/10,2.618,284.07,306.80,319.58
16APSK,2/3,2.575,279.41,301.76,314.33
16APSK,3/4,2.896,314.24,339.38,353.52
16APSK,4/5,3.091,335.39,362.23,377.32
16APSK,5/6,3.222,349.61,377.58,393.31
16APSK,8/9,3.44,373.26,403.13,419.92
16APSK,9/10,3.483,377.93,408.16,425.17
32APSK,3/4,3.623,393.12,424.57,442.26
32APSK,4/5,3.866,419.49,453.05,471.92
32APSK,5/6,4.031,437.39,472.38,492.07
32APSK,8/9,4.303,466.90,504.26,525.27
32APSK,9/10,4.357,472.76,510.59,531.86
