BitsPerSymbol,Modulation,CodingRate,SpectralEfficiency,dataratebps,CNR_min,CNR_min_10dB
4,QPSK,1/4,0.4786,75860,-2.35,7.65
4,QPSK,1/3,0.6408,101600,-1.24,8.76
4,QPSK,2/5,0.7706,122100,-0.3,9.7
4,QPSK,1/2,0.9653,153000,1,11
4,QPSK,3/5,1.16,183900,2.23,12.23
4,QPSK,2/3,1.291,204600,3.1,13.1
4,QPSK,3/4,1.452,230200,4.03,14.03
4,QPSK,4/5,1.549,245600,4.68,14.68
4,QPSK,5/6,1.615,256000,5.18,15.18
4,QPSK,8/9,1.724,273300,6.2,16.2
4,QPSK,9/10,1.746,276700,6.42,16.42
8,8PSK,3/5,1.74,275700,5.5,15.5
8,8PSK,2/3,1.936,306800,6.62,16.62
8,8PSK,3/4,2.178,345100,7.91,17.91
8,8PSK,5/6,2.422,383900,9.35,19.35
8,8PSK,8/9,2.586,409900,10.69,20.69
8,8PSK,9/10,2.618,415000,10.98,20.98
16,16APSK,2/3,2.575,408100,8.97,18.97
16,16APSK,3/4,2.896,459100,10.21,20.21
16,16APSK,4/5,3.091,489800,11.03,21.03
16,16APSK,5/6,3.222,510700,11.61,21.61
16,16APSK,8/9,3.44,545200,12.89,22.89
16,16APSK,9/10,3.483,552000,13.13,23.13
32,32APSK,3/4,3.623,574300,12.73,22.73
32,32APSK,4/5,3.866,612800,13.64,23.64
32,32APSK,5/6,4.031,638900,14.28,24.28
32,32APSK,8/9,4.303,682000,15.69,25.69
32,32APSK,9/10,4.357,690600,16.05,26.05
