Angle_deg,Gaseous_dB,Cloud_dB,Rain_dB,Scintillation_dB,Total_dB
10,0.1169643847209453,0.001337553137007542,0.0003849060444501206,0.20038326494410744,0.3173550525058802
15,0.07942586670146998,0.000897397889255189,0.00024858682454334226,0.12405527430104453,0.20348643401788868
20,0.06036709169650775,0.000679093525064359,0.00018325839542930033,0.0887396132695383,0.14911089493967508
25,0.04895431806633031,0.0005495826512971481,0.00014543332152116428,0.0688065605217598,0.11776438868129965
30,0.04142413182562401,0.0004645273295480914,0.0001210507685705088,0.05620942596312396,0.09763660792135306
35,0.03613466376567364,0.0004049393420895229,0.0001042210807671519,0.047652430982683125,0.0837898148292846
40,0.032257931098770114,0.00036133811740290234,9.205541416492569e-05,0.04154804596576388,0.07380845082196606
45,0.02933237562463351,0.0003284704247699335,8.297657245558563e-05,0.03704263145685435,0.06637729206238326
50,0.02708124706845003,0.00030319868104306804,7.605436071541696e-05,0.033639264524787785,0.060722649397103465
55,0.025329314379357433,0.0002835415798487643,7.070774279440823e-05,0.031031049475947387,0.056362385838065604
60,0.02396102234562824,0.00026819497876052854,6.655785421529594e-05,0.02901984380814402,0.05298279682804506
65,0.022897902928033013,0.00025627459908898834,6.334988379608342e-05,0.027473522108920883,0.050373284215276766
70,0.022085722843155853,0.0002471698294063359,6.0909093645359556e-05,0.026302142403756893,0.04838966946054267
75,0.021486823952504196,0.00024045703971532195,5.911495137776244e-05,0.02544404436224528,0.046932631797525604
80,0.021075457081411855,0.00023584670618567567,5.788546126231195e-05,0.024857489299741662,0.045934681785190626
85,0.020834899548348697,0.00023315087424070503,5.7167578161747526e-05,0.02451557648375758,0.045352194976979746
90,0.020755730513776546,0.00023226366477404568,5.6931490213743155e-05,0.0244032254734738,0.04516066950871912
