BitsPerSymbol,Modulation,CodingRate,dataratebps,SpectralEfficiency,EbN0_min,CNR_min,CNR_min10dB
4,QPSK,1/4,75858,0.48,0.85,-2.35,7.65
4,QPSK,1/3,101567,0.64,0.69,-1.24,8.76
4,QPSK,2/5,122140,0.77,0.83,-0.3,9.7
4,QPSK,1/2,153000,0.97,1.15,1,11
4,QPSK,3/5,183860,1.16,1.59,2.23,12.23
4,QPSK,2/3,204592,1.29,1.99,3.1,13.1
4,QPSK,3/4,230158,1.45,2.41,4.03,14.03
4,QPSK,4/5,245580,1.55,2.78,4.68,14.68
4,QPSK,5/6,256025,1.62,3.1,5.18,15.18
4,QPSK,8/9,273317,1.72,3.83,6.2,16.2
4,QPSK,9/10,276741,1.75,4,6.42,16.42
8,8PSK,3/5,275727,1.74,3.1,5.5,15.5
8,8PSK,2/3,306808,1.94,3.75,6.62,16.62
8,8PSK,3/4,345134,2.18,4.53,7.91,17.91
8,8PSK,5/6,383935,2.42,5.51,9.35,19.35
8,8PSK,8/9,409865,2.59,6.56,10.69,20.69
8,8PSK,9/10,415016,2.62,6.8,10.98,20.98
16,16APSK,2/3,408074,2.57,4.86,8.97,18.97
16,16APSK,3/4,459064,2.9,5.59,10.21,20.21
16,16APSK,4/5,489844,3.09,6.13,11.03,21.03
16,16APSK,5/6,510671,3.22,6.53,11.61,21.61
16,16APSK,8/9,545161,3.44,7.53,12.89,22.89
16,16APSK,9/10,552008,3.48,7.71,13.13,23.13
32,32APSK,3/4,574293,3.62,7.14,12.73,22.73
32,32APSK,4/5,612793,3.87,7.77,13.64,23.64
32,32APSK,5/6,638850,4.03,8.23,14.28,24.28
32,32APSK,8/9,682010,4.3,9.35,15.69,25.69
32,32APSK,9/10,690569,4.36,9.66,16.05,26.05
